nomor_tiket,id_pesawat,model_pesawat,jarak_tempuh_pesawat,kode_bandara,nama_bandara,kota_bandara,koordinat_bandara,zona_waktu_bandara,id_penerbangan,nomor_penerbangan,jadwal_keberangkatan,jadwal_kedatangan,bandara_keberangkatan,bandara_kedatangan,status_penerbangan,nomor_kursi,kelas_kursi,harga_tiket,kode_pemesanan,total_harga
0005435103834,733,Boeing 737-300,4200,SGC,Surgut Airport,Surgut,"(73.4018020629882812,61.3437004089355469)",Asia/Yekaterinburg,32095,PG0708,2024-08-05 17:15:00+03,2024-08-05 18:00:00+03,SGC,OVS,Scheduled,9E,Economy,"5,200.00",2ED72A,"42,600.00"
0005434523735,733,Boeing 737-300,4200,AER,Sochi International Airport,Sochi,"(39.9566001892089986,43.4499015808110016)",Europe/Moscow,30883,PG0322,2024-07-19 10:30:00+03,2024-07-19 15:25:00+03,AER,NOZ,Scheduled,9F,Economy,"35,600.00",8BEC0B,"71,200.00"
0005435999685,733,Boeing 737-300,4200,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,6186,PG0120,2024-08-25 09:00:00+03,2024-08-25 14:45:00+03,SVO,MJZ,Scheduled,23A,Economy,"41,500.00",980E29,"99,200.00"
0005433719143,733,Boeing 737-300,4200,KGD,Khrabrovo Airport,Kaliningrad,"(20.5925998687744141,54.8899993896484375)",Europe/Kaliningrad,29239,PG0506,2024-08-15 12:00:00+03,2024-08-15 13:30:00+03,KGD,SVO,Scheduled,21C,Economy,"10,700.00",8F09E7,"50,200.00"
0005432462522,733,Boeing 737-300,4200,NOZ,Spichenkovo Airport,Novokuznetsk,"(86.877197265625,53.8114013671875)",Asia/Novokuznetsk,28015,PG0321,2024-08-05 07:40:00+03,2024-08-05 12:35:00+03,NOZ,AER,Scheduled,15F,Economy,"35,600.00",8C6E85,"213,600.00"
0005435040164,733,Boeing 737-300,4200,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,5458,PG0317,2024-08-08 16:45:00+03,2024-08-08 18:05:00+03,SVO,ROV,Scheduled,12A,Economy,"9,800.00",C1A05E,"39,200.00"
0005433811618,733,Boeing 737-300,4200,KRR,Krasnodar Pashkovsky International Airport,Krasnodar,"(39.1705017089839984,45.0346984863279971)",Europe/Moscow,24296,PG0073,2024-07-22 11:50:00+03,2024-07-22 16:45:00+03,KRR,NOZ,Scheduled,2A,Business,"105,400.00",79D580,"377,600.00"
0005434408534,733,Boeing 737-300,4200,SVO,Sheremetyevo International Airport,Moscow,"(37.4146000000000001,55.9725990000000024)",Europe/Moscow,7053,PG0677,2024-08-14 09:40:00+03,2024-08-14 11:55:00+03,SVO,MCX,Arrived,3D,Business,"49,100.00",8F5D94,"171,100.00"
0005433726084,733,Boeing 737-300,4200,AER,Sochi International Airport,Sochi,"(39.9566001892089986,43.4499015808110016)",Europe/Moscow,30865,PG0326,2024-07-29 14:20:00+03,2024-07-29 18:35:00+03,AER,KGP,Arrived,7E,Economy,"30,600.00",625514,"271,200.00"
0005434149857,733,Boeing 737-300,4200,AAQ,Anapa Vityazevo Airport,Anapa,"(37.3473014831539984,45.002101898192997)",Europe/Moscow,20991,PG0252,2024-08-13 13:05:00+03,2024-08-13 14:45:00+03,AAQ,SVO,Scheduled,3F,Business,"36,600.00",08B772,"85,200.00"
